# EU Member States (Quick Facts)  Currency, Calling Codes, and Internet TLD

| Country | EU Status | Currency | Calling Code | Internet TLD | Schengen Area |
|---|---|---|---:|---|---|
| Austria | Member | EUR | +43 | .at | Yes |
| Belgium | Member | EUR | +32 | .be | Yes |
| Bulgaria | Member | BGN | +359 | .bg | No |
| Croatia | Member | EUR | +385 | .hr | Yes |
| Cyprus | Member | EUR | +357 | .cy | No |
| Czechia | Member | CZK | +420 | .cz | Yes |
| Denmark | Member | DKK | +45 | .dk | Yes |
| Estonia | Member | EUR | +372 | .ee | Yes |
| Finland | Member | EUR | +358 | .fi | Yes |
| France | Member | EUR | +33 | .fr | Yes |
| Germany | Member | EUR | +49 | .de | Yes |
| Greece | Member | EUR | +30 | .gr | Yes |
