# 2009-10 NHL Season Summary | Hockey-Reference.com

| Rk | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26 | 27 | 28 | 29 | 30 | 30 |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Team | Washington Capitals* | San Jose Sharks* | Chicago Blackhawks* | Phoenix Coyotes* | New Jersey Devils* | Vancouver Canucks* | Detroit Red Wings* | Pittsburgh Penguins* | Los Angeles Kings* | Buffalo Sabres* | Nashville Predators* | Colorado Avalanche* | Ottawa Senators* | Boston Bruins* | St. Louis Blues | Calgary Flames | Anaheim Ducks | Dallas Stars | Philadelphia Flyers* | Montreal Canadiens* | New York Rangers | Minnesota Wild | Atlanta Thrashers | Carolina Hurricanes | Tampa Bay Lightning | New York Islanders | Columbus Blue Jackets | Florida Panthers | Toronto Maple Leafs | Edmonton Oilers | League Average |
| AvAge | 27.2 | 29.3 | 26.6 | 28.2 | 30.5 | 28.1 | 30.3 | 27.8 | 26.2 | 27.8 | 27.6 | 26.4 | 27.9 | 28.1 | 27.9 | 28.8 | 27.9 | 28.3 | 27.7 | 27.5 | 26.8 | 28.6 | 27.5 | 28.9 | 27.0 | 28.3 | 26.1 | 28.1 | 27.0 | 27.1 | 27.8 |
| GP | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 | 82 |
| W | 54 | 51 | 52 | 50 | 48 | 49 | 44 | 47 | 46 | 45 | 47 | 43 | 44 | 39 | 40 | 40 | 39 | 37 | 41 | 39 | 38 | 38 | 35 | 35 | 34 | 34 | 32 | 32 | 30 | 27 | 41 |
| L | 15 | 20 | 22 | 25 | 27 | 28 | 24 | 28 | 27 | 27 | 29 | 30 | 32 | 30 | 32 | 32 | 32 | 31 | 35 | 33 | 33 | 36 | 34 | 37 | 36 | 37 | 35 | 37 | 38 | 47 | 31 |
| OL | 13 | 11 | 8 | 7 | 7 | 5 | 14 | 7 | 9 | 10 | 6 | 9 | 6 | 13 | 10 | 10 | 11 | 14 | 6 | 10 | 11 | 8 | 13 | 10 | 12 | 11 | 15 | 13 | 14 | 8 | 10 |
| PTS | 121 | 113 | 112 | 107 | 103 | 103 | 102 | 101 | 101 | 100 | 100 | 95 | 94 | 91 | 90 | 90 | 89 | 88 | 88 | 88 | 87 | 84 | 83 | 80 | 80 | 79 | 79 | 77 | 74 | 62 | 92 |
| PTS% | .738 | .689 | .683 | .652 | .628 | .628 | .622 | .616 | .616 | .610 | .610 | .579 | .573 | .555 | .549 | .549 | .543 | .537 | .537 | .537 | .530 | .512 | .506 | .488 | .488 | .482 | .482 | .470 | .451 | .378 | .561 |
| GF | 318 | 264 | 271 | 225 | 222 | 272 | 229 | 257 | 241 | 235 | 225 | 244 | 225 | 206 | 225 | 204 | 238 | 237 | 236 | 217 | 222 | 219 | 234 | 230 | 217 | 222 | 216 | 208 | 214 | 214 | 233 |
| GA | 233 | 215 | 209 | 202 | 191 | 222 | 216 | 237 | 219 | 207 | 225 | 233 | 238 | 200 | 223 | 210 | 251 | 254 | 225 | 223 | 218 | 246 | 256 | 256 | 260 | 264 | 259 | 244 | 267 | 284 | 233 |
| SRS | 0.90 | 0.65 | 0.77 | 0.34 | 0.31 | 0.60 | 0.23 | 0.17 | 0.32 | 0.26 | 0.06 | 0.16 | -0.22 | 0.01 | 0.08 | -0.03 | -0.07 | -0.12 | 0.08 | -0.14 | 0.00 | -0.26 | -0.33 | -0.37 | -0.56 | -0.53 | -0.42 | -0.47 | -0.68 | -0.76 | 0.00 |
| SOS | -0.14 | 0.05 | 0.02 | 0.06 | -0.07 | -0.01 | 0.07 | -0.07 | 0.05 | -0.08 | 0.06 | 0.02 | -0.06 | -0.06 | 0.06 | 0.04 | 0.09 | 0.09 | -0.06 | -0.07 | -0.05 | 0.07 | -0.06 | -0.05 | -0.03 | -0.02 | 0.11 | -0.03 | -0.03 | 0.09 | 0.00 |
| TG/G | 6.72 | 5.84 | 5.85 | 5.21 | 5.04 | 6.02 | 5.43 | 6.02 | 5.61 | 5.39 | 5.49 | 5.82 | 5.65 | 4.95 | 5.46 | 5.05 | 5.96 | 5.99 | 5.62 | 5.37 | 5.37 | 5.67 | 5.98 | 5.93 | 5.82 | 5.93 | 5.79 | 5.51 | 5.87 | 6.07 | 5.68 |
| PP | 79 | 65 | 52 | 46 | 51 | 68 | 59 | 56 | 64 | 55 | 47 | 56 | 49 | 44 | 53 | 43 | 63 | 61 | 68 | 57 | 55 | 59 | 51 | 56 | 63 | 49 | 56 | 44 | 44 | 52 | 56 |
| PPO | 313 | 309 | 294 | 314 | 272 | 323 | 307 | 326 | 307 | 313 | 286 | 310 | 290 | 265 | 308 | 268 | 300 | 328 | 318 | 261 | 301 | 309 | 316 | 329 | 326 | 306 | 308 | 309 | 315 | 301 | 304 |
| PP% | 25.24 | 21.04 | 17.69 | 14.65 | 18.75 | 21.05 | 19.22 | 17.18 | 20.85 | 17.57 | 16.43 | 18.06 | 16.90 | 16.60 | 17.21 | 16.04 | 21.00 | 18.60 | 21.38 | 21.84 | 18.27 | 19.09 | 16.14 | 17.02 | 19.33 | 16.01 | 18.18 | 14.24 | 13.97 | 17.28 | 18.23 |
| PPA | 67 | 49 | 40 | 49 | 41 | 59 | 43 | 52 | 60 | 38 | 59 | 60 | 50 | 37 | 45 | 54 | 67 | 65 | 57 | 53 | 50 | 53 | 57 | 62 | 67 | 71 | 61 | 59 | 73 | 67 | 56 |
