# Household Product Mixture Composition (by weight %) — Glass Cleaner Spray (Consumer Product)

| Ingredient (common name) | CAS No. | Role | Concentration (wt %) | Notes |
|---|---:|---|---:|---|
| Water | 7732-18-5 | Solvent | 90.00 | Main carrier |
| Isopropyl alcohol (IPA) | 67-63-0 | Solvent / fast drying | 5.00 | Boosts evaporation |
| Ammonium hydroxide (as NH3 in water) | 1336-21-6 | Alkaline cleaner | 0.50 | Provides cleaning punch |
| 2-Butoxyethanol | 111-76-2 | Glycol ether solvent | 1.20 | Grease cutting |
| Sodium lauryl sulfate | 151-21-3 | Surfactant | 0.30 | Wetting |
| Sodium citrate | 6132-04-3 | Builder / chelant | 0.40 | Helps with water hardness |
| Fragrance | — | Odor | 0.10 | Proprietary |
| Preservative (benzisothiazolinone) | 2634-33-5 | Preservative | 0.02 | Trace biocide |
| Dye | — | Color | 0.01 | Trace |
| Other minors | — | Processing aids | 2.47 | Completes formulation |
