# Hormone Receptors, Second Messengers, and Signaling Pathways

| Hormone | Receptor Type | Primary Receptor | G-Protein/Pathway | Second Messenger | Downstream Notes |
| --- | --- | --- | --- | --- | --- |
| Epinephrine | GPCR | β1-adrenergic receptor | Gs → adenylyl cyclase | cAMP | Activates PKA; phosphorylation cascades |
| Glucagon | GPCR | Glucagon receptor | Gs → adenylyl cyclase | cAMP | CREB-mediated transcription changes |
| Vasopressin (ADH) | GPCR | V2 receptor | Gs | cAMP | Aquaporin trafficking described mechanistically |
| Oxytocin | GPCR | Oxytocin receptor | Gq → PLCβ | IP3/DAG, Ca2+ | Smooth muscle Ca2+ signaling emphasis |
| Insulin | RTK | Insulin receptor | PI3K-AKT; MAPK | PIP3 | GLUT4 translocation via AKT pathway |
| Cortisol | Nuclear receptor | Glucocorticoid receptor | Gene transcription regulation | N/A | GRE binding, transactivation/repression |
| Thyroid hormone (T3) | Nuclear receptor | TRα/TRβ | Transcription factor | N/A | Heterodimer with RXR on TREs |
| Parathyroid hormone (PTH) | GPCR | PTH1 receptor | Gs/Gq | cAMP, IP3 | Bone/renal effects framed as signaling |
| Melatonin | GPCR | MT1/MT2 | Gi | ↓cAMP | Clock gene modulation through signaling |
| ACTH | GPCR | MC2 receptor | Gs | cAMP | Steroidogenesis via StAR induction |
