# Beijing 2008 Olympics Medal Table (Mid-Table Examples) — Country-by-Country Breakdown

| Rank* | Country | Gold | Silver | Bronze | Total |
|---:|---|---:|---:|---:|---:|
| 13 | Spain | 5 | 10 | 3 | 18 |
| 14 | Canada | 3 | 9 | 6 | 18 |
| 15 | Brazil | 3 | 4 | 8 | 15 |
| 16 | Kenya | 5 | 5 | 4 | 14 |
| 17 | Kazakhstan | 2 | 4 | 7 | 13 |
| 18 | Jamaica | 6 | 3 | 2 | 11 |
| 19 | Poland | 3 | 6 | 1 | 10 |
| 20 | Hungary | 3 | 5 | 2 | 10 |
| 21 | Norway | 3 | 5 | 2 | 10 |
| 22 | New Zealand | 3 | 1 | 5 | 9 |
| 23 | Romania | 4 | 1 | 3 | 8 |
| 24 | Turkey | 1 | 4 | 3 | 8 |

\*Rank shown is within this selected set for quick scanning, not the official overall rank.
