# Countries Using the Dollar in Asia (Currency-Centric, Multi-Continent Users Included)

| Dollar-denominated currency | ISO 4217 | Asian users | Non-Asian users (also listed) | Comment |
|---|---|---|---|---|
| United States dollar | USD | Timor-Leste, Cambodia (widely used) | Ecuador, El Salvador, United States | Mixes continents |
| Hong Kong dollar | HKD | Hong Kong |  | Local dollar currency |
| Singapore dollar | SGD | Singapore |  |  |
| Brunei dollar | BND | Brunei |  | Interchangeable with SGD |
| New Taiwan dollar | TWD | Taiwan |  |  |
| Australian dollar | AUD | Christmas Island (Asia-administered territory), Cocos (Keeling) Islands | Australia, Nauru, Tuvalu (alongside other currency) | Mixes regions |
| Canadian dollar | CAD |  | Canada | Included for comparison |
| East Caribbean dollar | XCD |  | Antigua and Barbuda, Dominica, Grenada | Not Asian but included |
| New Zealand dollar | NZD |  | New Zealand, Cook Islands | Not Asian but included |
