# NUTRITIONAL REPORTING: IRMAt | World Food Programme

|   | Cambodia | Indonesia | Lao People's Democratic Republic | Mongolia | Myanmar | Philippines, the | Timor-Leste | Timor-Leste |
| --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Actual Tons | 31,870 | 33,863 | 19,455 | 33,422 | 25,884 | 108,978 | 14,277 | 267,749 |
| Energy | 151,299 | 182,776 | 85,602 | 147,808 | 114,359 | 489,066 | 68,883 | 1,239,793 |
| Protein | 139,713 | 183,271 | 78,564 | 240,718 | 96,723 | 648,650 | 79,905 | 1,467,544 |
| Fat | 182,259 | 327,369 | 21,691 | 56,557 | 33,381 | 234,255 | 76,148 | 931,661 |
| Iodine | 13,014 | 8,396 | 1,656 | 2 | 845 | 15,311 | 2,449 | 41,674 |
| Iron | 62,448 | 101,091 | 38,460 | 146,363 | 31,898 | 427,207 | 61,598 | 869,065 |
| Niacin | 150,055 | 283,876 | 82,753 | 513,523 | 80,889 | 671,139 | 77,028 | 1,859,263 |
| Riboflavin | 53,330 | 52,561 | 27,581 | 79,130 | 19,873 | 333,064 | 32,513 | 598,052 |
| Thiamine | 140,968 | 275,013 | 79,820 | 425,966 | 96,741 | 778,436 | 83,914 | 1,880,859 |
| Vitamin A | 44,070 | 2,211 | 30,523 | 0 | 8,784 | 128,860 | 44,662 | 259,110 |
| Vitamin B6 | 186,250 | 268,768 | 131,690 | 348,809 | 186,383 | 664,573 | 70,946 | 1,857,419 |
| Vitamin B9 | 55,777 | 19,520 | 36,757 | 646 | 51,385 | 194,267 | 34,025 | 392,376 |
| Vitamin B12 | 12,093 | 3,908 | 8,395 | 74 | 11,907 | 45,053 | 6,786 | 88,215 |
| Vitamin C | 87,576 | 7,030 | 55,005 | 0 | 14,709 | 307,143 | 86,748 | 558,210 |
| Zinc | 75,875 | 162,122 | 50,980 | 309,322 | 74,678 | 284,091 | 26,667 | 983,735 |
