# Sun composition by mass (selected elements)

| Element | Symbol | Mass fraction (%) | Where it is commonly discussed |
|---|---|---:|---|
| Hydrogen | H | 73.8 | Solar interior / overall Sun |
| Helium | He | 24.8 | Solar interior / overall Sun |
| Oxygen | O | 0.77 | Photosphere (metals) |
| Carbon | C | 0.29 | Photosphere (metals) |
| Iron | Fe | 0.16 | Photosphere (metals) |
| Neon | Ne | 0.12 | Photosphere (metals) |
| Nitrogen | N | 0.09 | Photosphere (metals) |
| Silicon | Si | 0.07 | Photosphere (metals) |
| Magnesium | Mg | 0.06 | Photosphere (metals) |
| Sulfur | S | 0.05 | Photosphere (metals) |
