# Blood Type Diet Ratings for Vegetables (Foods Down Rows, Blood Types as Columns)

| Vegetable | Type A | Type B | Type AB | Type O | Food type |
| --- | --- | --- | --- | --- | --- |
| Artichoke | Beneficial | Neutral | Neutral | Beneficial | Vegetable |
| Arugula | Neutral | Neutral | Neutral | Neutral | Leafy vegetable |
| Asparagus | Neutral | Neutral | Neutral | Neutral | Vegetable |
| Beet | Neutral | Neutral | Neutral | Neutral | Root vegetable |
| Bok choy | Neutral | Neutral | Neutral | Neutral | Cruciferous vegetable |
| Broccoli | Beneficial | Beneficial | Beneficial | Beneficial | Cruciferous vegetable |
| Cabbage | Avoid | Beneficial | Neutral | Beneficial | Cruciferous vegetable |
| Carrot | Beneficial | Neutral | Neutral | Avoid | Root vegetable |
| Cauliflower | Neutral | Beneficial | Beneficial | Avoid | Cruciferous vegetable |
| Cucumber | Neutral | Neutral | Beneficial | Neutral | Vegetable |
| Daikon radish | Neutral | Neutral | Neutral | Neutral | Root vegetable |
