# Common Community-Acquired Infections and First-Line Treatments (Adults)

| Infection (primary diagnosis) | Typical setting/notes | First-line treatment (examples) | Alternatives (if allergy/resistance) | Usual duration (typical) |
| --- | --- | --- | --- | --- |
| Acute uncomplicated cystitis (female) | Non-pregnant, no fever/flank pain | Nitrofurantoin; TMP-SMX; Fosfomycin | Pivmecillinam; oral beta-lactam (e.g., cephalexin) | 1–5 days (agent-dependent) |
| Acute pyelonephritis (outpatient) | Fever/flank pain; consider initial IV dose | Oral fluoroquinolone (e.g., ciprofloxacin/levofloxacin) | TMP-SMX (if susceptible); oral beta-lactam after initial IV ceftriaxone | 5–14 days |
| Cellulitis (non-purulent) | Likely streptococcal | Cephalexin or dicloxacillin | Clindamycin (beta-lactam allergy) | ~5 days (extend if slow response) |
| Purulent skin abscess | I&D is key; MRSA risk | TMP-SMX or doxycycline (plus incision & drainage) | Clindamycin | 5–10 days (when antibiotics used) |
| Impetigo | Localized vs extensive | Topical mupirocin (localized) or oral cephalexin (extensive) | Clindamycin or TMP-SMX (if MRSA suspected; add strep coverage as needed) | 5–7 days |
| Streptococcal pharyngitis | Confirm/strong clinical suspicion | Penicillin V or amoxicillin | Cephalexin; azithromycin (if severe beta-lactam allergy) | 10 days (azithro often 5 days) |
| Community-acquired pneumonia (outpatient, no comorbidities) | Otherwise healthy adult | Amoxicillin or doxycycline | Macrolide (e.g., azithromycin) where resistance is low | 5+ days (until clinically stable) |
| Acute bacterial sinusitis | Persistent/worsening symptoms | Amoxicillin-clavulanate | Doxycycline; respiratory fluoroquinolone | 5–7 days (adults) |
| Acute otitis media (adult) | Ear pain, bulging TM | Amoxicillin | Amoxicillin-clavulanate; cefdinir; doxycycline (allergy-dependent) | 5–10 days |
| Clostridioides difficile infection (initial episode) | After antibiotics/healthcare exposure | Oral vancomycin or fidaxomicin | Metronidazole (if others unavailable) | 10 days |
| Vulvovaginal candidiasis | Itching/discharge | Fluconazole (oral) or topical azole | Longer-course azole for recurrent/severe disease | 1–14 days (regimen-dependent) |
