# Global Frequency of Selected Human Diseases and Clinical Conditions (Incidence Prevalence Summary)

| Category | Disease/Condition | Frequency type | Frequency (explicit) | Population/Denominator | Time frame | Notes |
|---|---|---|---|---|---|---|
| Infectious disease | Influenza (seasonal) | Annual incidence | 5–10% of adults; 20–30% of children | General population | Per year | Range varies by season and surveillance method |
| Infectious disease | Tuberculosis (all forms) | Incidence rate | ~130 per 100,000 | Global population | Per year | Approximate global average; varies widely by country |
| Infectious disease | HIV infection | Incidence rate | ~20 per 100,000 | Global population | Per year | Approximate global rate |
| Chronic disease | Type 2 diabetes | Prevalence | ~10% | Adults | Point prevalence | Higher in older age groups |
| Cardiovascular | Hypertension | Prevalence | ~30% | Adults | Point/period prevalence | Definition depends on guideline threshold |
| Respiratory | Asthma | Prevalence | ~4% | Total population | Point/period prevalence | Often reported as current asthma prevalence |
| Mental health | Major depressive disorder | 12-month prevalence | ~5% | Adults | 12 months | Survey-based estimate |
| Cancer | Breast cancer (female) | Incidence rate | ~55 per 100,000 | Women | Per year | Age-standardized style summary |
| Cancer | Colorectal cancer | Incidence rate | ~20 per 100,000 | Total population | Per year | Varies with screening and demographics |
| Neurologic | Multiple sclerosis | Prevalence | ~35 per 100,000 | Total population | Point prevalence | Higher in higher-latitude regions |
| Autoimmune | Rheumatoid arthritis | Prevalence | ~1% | Adults | Point prevalence | Often 0.5–1% depending on criteria |
| Rare disease | Amyotrophic lateral sclerosis (ALS) | Incidence rate | ~2 per 100,000 | Total population | Per year | Rare; estimates differ by registry coverage |
