# Breakfast Cereals Nutritional Value (Amounts per 100 g)

| Nutrient (per 100 g) | Corn Flakes (plain) | Bran Flakes | Oat Rings (toasted oats) | Granola (oats & honey) |
|---|---:|---:|---:|---:|
| Energy (kcal) | 357 | 342 | 389 | 471 |
| Protein (g) | 7.5 | 9.6 | 11.3 | 10.0 |
| Total fat (g) | 0.4 | 2.3 | 6.9 | 19.0 |
| Saturated fat (g) | 0.1 | 0.4 | 1.2 | 3.6 |
| Carbohydrate (g) | 84.0 | 80.0 | 70.0 | 64.0 |
| Total sugars (g) | 8.0 | 18.0 | 17.0 | 26.0 |
| Dietary fiber (g) | 3.3 | 11.0 | 10.0 | 7.0 |
| Sodium (mg) | 720 | 540 | 400 | 210 |
| Iron (mg) | 8.0 | 7.5 | 6.0 | 3.2 |
| Thiamin / Vitamin B1 (mg) | 0.80 | 0.55 | 0.60 | 0.45 |
| Folate (µg) | 170 | 90 | 35 | 55 |
| Zinc (mg) | 2.0 | 2.5 | 3.0 | 2.2 |
| Magnesium (mg) | 28 | 120 | 145 | 110 |
