# U.S. State Population (2010 vs 2020) — Comparison for Multiple States

| State | Population (2010 Census) | Population (2020 Census) | Absolute Change | Percent Change |
| --- | --- | --- | --- | --- |
| Arizona | 6,392,017 | 7,151,502 | 759,485 | 11.9% |
| Colorado | 5,029,196 | 5,773,714 | 744,518 | 14.8% |
| Washington | 6,724,540 | 7,705,281 | 980,741 | 14.6% |
| Oregon | 3,831,074 | 4,237,256 | 406,182 | 10.6% |
| Nevada | 2,700,551 | 3,104,614 | 404,063 | 15.0% |
| Utah | 2,763,885 | 3,271,616 | 507,731 | 18.4% |
| Idaho | 1,567,582 | 1,839,106 | 271,524 | 17.3% |
| New Mexico | 2,059,179 | 2,117,522 | 58,343 | 2.8% |
| Montana | 989,415 | 1,084,225 | 94,810 | 9.6% |
