# UK Prime Ministers Grouped by Political Party (Leaders Listed in Party Blocks)

| Party block | Prime minister | First took office | Left office | Notes |
|---|---|---|---|---|
| Conservative | Winston Churchill | 1940 | 1945 | Wartime coalition then Conservative govt |
| Conservative | Winston Churchill | 1951 | 1955 | Second term |
| Conservative | Anthony Eden | 1955 | 1957 | Resigned after Suez crisis |
| Conservative | Harold Macmillan | 1957 | 1963 | 'Supermac' era |
| Conservative | Alec Douglas-Home | 1963 | 1964 | Peerage renounced to sit in Commons |
| Labour | Harold Wilson | 1964 | 1970 | First Wilson ministry |
| Labour | Harold Wilson | 1974 | 1976 | Second Wilson ministry |
| Labour | James Callaghan | 1976 | 1979 | Winter of Discontent period |
| Conservative | Margaret Thatcher | 1979 | 1990 | Longest-serving of modern era |
| Conservative | John Major | 1990 | 1997 | Maastricht and ERM aftermath |
