# Household Product Mixtures (Percent Ranges Only, Not Explicit Strength Values)

| Product Type | Ingredient | CAS No. | Listed Composition (Range) | Role |
| --- | --- | --- | --- | --- |
| All-purpose cleaner | Water | 7732-18-5 | 60–90% | Carrier |
| All-purpose cleaner | Alcohol ethoxylate | 68439-46-3 | 1–10% | Surfactant |
| All-purpose cleaner | Sodium citrate | 68-04-2 | 0.1–5% | Builder |
| Bathroom cleaner | Citric acid | 77-92-9 | 1–15% | Descaler |
| Bathroom cleaner | Lactic acid | 50-21-5 | 0.5–10% | Descaler |
| Glass cleaner | Isopropyl alcohol | 67-63-0 | 1–20% | Solvent |
| Glass cleaner | Ammonium hydroxide | 1336-21-6 | 0.1–5% | Cleaning agent |
| Bleach | Sodium hypochlorite | 7681-52-9 | 1–10% | Oxidizer |
| Drain opener | Sodium hydroxide | 1310-73-2 | 10–30% | Base |
