# Top Attractions in Canberra (Capital of Australia) for First-Time Visitors

| District (Canberra) | Attraction / Point of Interest | Category | What to do there | Booking / access note | Recommended time |
|---|---|---|---|---|---|
| Parliamentary Triangle | Australian Parliament House | Landmark / Civic | Tour public areas; rooftop views; debates (when sitting) | Free entry; security screening | 1–2 h |
| Parliamentary Triangle | National Gallery of Australia | Museum / Art | Australian & international collections; sculpture garden | Some exhibitions ticketed | 2–3 h |
| Parliamentary Triangle | National Portrait Gallery | Museum / Art | Portraits of notable Australians; rotating shows | Free entry | 1–2 h |
| Parliamentary Triangle | National Library of Australia | Culture / Library | Exhibitions, reading rooms, lakefront walks | Free entry; check exhibit times | 1–2 h |
| Lake Burley Griffin | Lake Burley Griffin foreshore | Scenic / Outdoors | Walk/cycle paths; viewpoints; picnic spots | Free public areas | 1–3 h |
| Lake Burley Griffin | National Museum of Australia | Museum / History | Australian social history and iconic architecture | Ticketed special exhibits | 2–4 h |
| Russell / City East | Australian War Memorial | Museum / Memorial | Galleries and commemorations; daily ceremony | Free entry; allow extra for galleries | 2–4 h |
| Acton | Questacon – National Science and Technology Centre | Interactive museum | Hands-on science exhibits, shows for families | Ticketed; prebook on busy days | 2–3 h |
| Black Mountain | National Arboretum Canberra | Gardens / Views | Themed forests, lookout points, cafe | Free grounds; parking available | 1–2 h |
| Black Mountain | Telstra Tower (Black Mountain Tower) | Viewpoint | Panoramic city and mountain views | Entry fee; check opening hours | 45–90 min |
| City Centre | Canberra Centre & City Walk precinct | Shopping / Dining | Cafes, restaurants, convenient base for exploring | Free access | 1–2 h |
| Weston Creek | Cotter Avenue / Stromlo Forest Park (trailhead area) | Outdoor activity | Mountain-bike and walking trails near the city | Trails vary; bring water | 1–3 h |
