# Selected Football Clubs and Their Home City (with Stadium Location)

| Club | Home City | Country | Stadium | Stadium City |
|---|---|---|---|---|
| Manchester City | Manchester | England | Etihad Stadium | Manchester |
| Arsenal | London | England | Emirates Stadium | London |
| Liverpool | Liverpool | England | Anfield | Liverpool |
| Chelsea | London | England | Stamford Bridge | London |
| Newcastle United | Newcastle upon Tyne | England | St James' Park | Newcastle upon Tyne |
| Tottenham Hotspur | London | England | Tottenham Hotspur Stadium | London |
| Everton | Liverpool | England | Goodison Park | Liverpool |
| West Bromwich Albion | West Bromwich | England | The Hawthorns | West Bromwich |
| Norwich City | Norwich | England | Carrow Road | Norwich |
| Swansea City | Swansea | Wales | Swansea.com Stadium | Swansea |
| Queens Park Rangers | London | England | Loftus Road | London |
