# European Union  Membership Notes and Special Territorial Arrangements (Narrative Summary)

| Country/Territory | Relationship to EU | Special Status / Notes | Legal Basis Mentioned | Applies EU VAT? | Applies Schengen? |
|---|---|---|---|---|---|
| Åland Islands | Part of EU via Finland | Exemptions on VAT and excise rules | Protocol reference | No | Yes |
| Gibraltar | Formerly via UK | EU law applied with exceptions pre-withdrawal | Treaty/withdrawal note | Partial | No |
| Faroe Islands | Outside EU | Self-governing under Denmark but excluded from EU | National arrangement | No | No |
| Greenland | Outside EU | Left EC; associated as OCT | Withdrawal arrangement | No | No |
| French Guiana | EU outermost region | EU law applies with adaptations | OMR note | Yes | No |
| Réunion | EU outermost region | Integral part of France and EU | OMR note | Yes | No |
| Saint Martin (FR) | EU outermost region | Part of EU; local adaptations | OMR note | Partial | No |
| Sint Maarten (NL) | OCT | Not part of EU; associated territory | OCT note | No | No |
| Akrotiri and Dhekelia | EU-related | UK bases on Cyprus; special protocol | Protocol note | Partial | No |
| Isle of Man | Not in EU | Customs and goods arrangements only (historic) | Protocol note | No | No |
| Svalbard | Outside EU | Special treaty regime; not in EU | Svalbard Treaty | No | No |
