# FRB: Finance and Economics Discussion Series: Screen Reader Version - 200913

| Item | NETWORTH | NETWORTH (Standard Error) | INCOME | INCOME (Standard Error) | WAGES | WAGES (Standard Error) | SELF-EMP | SELF-EMP (Standard Error) | NONTAXINT | NONTAXINT (Standard Error) | TAXINT | TAXINT (Standard Error) | DIVIDEND | DIVIDEND (Standard Error) | GAIN_LOSS | GAIN_LOSS (Standard Error) | BUSINESS | BUSINESS (Standard Error) | UNEMP | UNEMP (Standard Error) | ALIMONY | ALIMONY (Standard Error) | WELFARE | WELFARE (Standard Error) | PENSION | PENSION (Standard Error) | OTHINC | OTHINC (Standard Error) |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| All Total | 25938.8 | 768.5 | 5558.5 | 75.6 | 4140.7 | 92 | 673.1 | 208.4 | 60.4 | 5.7 | 180.4 | 8.4 | 102.7 | 11.9 | 122.4 | 20.1 | 192.9 | 27.1 | 37.1 | 4.1 | 31 | 6.3 | 47.7 | 3.6 | 508.6 | 13.1 | 477.2 | 147.6 |
| All Share | 100 | 0 | 100 | 0 | 100 | 0 | 100 | 0 | 100 | 0 | 100 | 0 | 100 | 0 | 100 | 0 | 100 | 0 | 100 | 0 | 100 | 0 | 100 | 0 | 100 | 0 | 100 | 0 |
| <50 Total | 3917.7 | 181.6 | 953 | 19.3 | 612.5 | 18.9 | 14.4 | 13.7 | 1.3 | 0.4 | 28.3 | 5.3 | 6.9 | 1.1 | 0.2 | 1.6 | 16.4 | 6.7 | 17.3 | 2.5 | 11.2 | 1.6 | 41.7 | 3.1 | 262.1 | 7.8 | 187.8 | 96.9 |
| <50 Share | 15.1 | 0.7 | 17.1 | 0.5 | 14.8 | 0.6 | 2.3 | 2.5 | 2.2 | 0.6 | 15.6 | 2.7 | 6.8 | 1 | 0.2 | 1.3 | 8.6 | 4.1 | 46.8 | 5.1 | 36.2 | 7.3 | 87.3 | 3 | 51.5 | 2 | 38.7 | 13 |
| 50-90 Total | 8615.2 | 301.5 | 2516.4 | 52.2 | 2168.2 | 63.2 | 268.6 | 193.7 | 12 | 1.9 | 63.4 | 6.4 | 28.9 | 3.8 | 12.7 | 4.6 | 40.8 | 5.6 | 15.2 | 1.7 | 9.6 | 2.3 | 5.5 | 1.5 | 195.4 | 14.3 | 172 | 75.8 |
| 50-90 Share | 33.2 | 1.3 | 45.3 | 0.9 | 52.4 | 1.2 | 36.7 | 16.4 | 19.9 | 3.1 | 35.2 | 3.5 | 28.2 | 3.6 | 10.5 | 3.9 | 21.1 | 3.4 | 41 | 5.2 | 30.9 | 8 | 11.6 | 2.8 | 38.4 | 2.2 | 36.6 | 13.3 |
| 90-95 Total | 2969 | 285 | 619.8 | 35.4 | 481.3 | 37.9 | 68.8 | 16.5 | 7.6 | 1.8 | 22.9 | 4 | 11.5 | 2.7 | 16.7 | 5.5 | 19.9 | 3.9 | 3.2 | 2.8 | 8.9 | 5.6 | 0.1 | 0.1 | 26.3 | 5.4 | 66.9 | 43.1 |
| 90-95 Share | 11.4 | 1 | 11.2 | 0.6 | 11.6 | 0.9 | 10.7 | 3.7 | 12.6 | 2.7 | 12.7 | 2 | 11.3 | 2.7 | 13.6 | 4.2 | 10.4 | 2.3 | 8.7 | 6.4 | 28.7 | 12.7 | 0.3 | 0.1 | 5.2 | 1 | 13.8 | 8 |
| 95-99 Total | 5151.5 | 465.2 | 817.3 | 49.7 | 577.3 | 52.4 | 134.3 | 25.3 | 17.3 | 3 | 30 | 3.3 | 21.4 | 3.4 | 28.8 | 6.6 | 59.9 | 25.2 | 1.2 | 0.6 | 0.9 | 0.9 | 0.4 | 0.5 | 18 | 4 | 38.5 | 22.7 |
| 95-99 Share | 19.9 | 1.5 | 14.7 | 0.8 | 13.9 | 1.2 | 20.9 | 6.4 | 28.7 | 4.3 | 16.6 | 1.8 | 20.9 | 3.4 | 23.6 | 5.6 | 30.9 | 9 | 3.1 | 1.6 | 2.9 | 2.9 | 0.8 | 1 | 3.5 | 0.8 | 8.1 | 4.8 |
| 99-100 Total | 5285.3 | 428 | 651.9 | 60.3 | 301.4 | 48.5 | 186.9 | 28.3 | 22.2 | 3.7 | 35.9 | 3.8 | 34 | 8.3 | 64 | 18.7 | 55.9 | 14.8 | 0.1 | 0.1 | 0.4 | 0.5 | 0 | 0 | 6.8 | 2 | 12.1 | 6.1 |
| 99-100 Share | 20.4 | 1.4 | 11.7 | 1 | 7.3 | 1.1 | 29.3 | 8.9 | 36.7 | 4.6 | 19.9 | 1.9 | 32.8 | 4.9 | 52.1 | 7.6 | 29 | 6.9 | 0.3 | 0.2 | 1.4 | 1.6 | 0.1 | 0.1 | 1.3 | 0.4 | 2.8 | 1.9 |
