# News & Star | Sport | RU | National 3 North

| Team | Chester | Harrogate | Sandal | Percy Park | Billingham | Penrith | Lymm | Burnage | Rossendale | Waterloo | Bradford & Bingley | Birkenhead Park | Kendal | West Hartlepool |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| P | 18 | 17 | 18 | 17 | 18 | 18 | 18 | 18 | 18 | 18 | 17 | 17 | 18 | 18 |
| W | 15 | 14 | 14 | 11 | 10 | 8 | 9 | 9 | 7 | 8 | 7 | 4 | 3 | 3 |
| D | 0 | 0 | 1 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 |
| L | 3 | 3 | 3 | 6 | 8 | 8 | 9 | 9 | 11 | 10 | 10 | 12 | 15 | 15 |
| F | 748 | 555 | 617 | 421 | 387 | 409 | 306 | 347 | 486 | 350 | 433 | 323 | 315 | 308 |
| A | 318 | 308 | 264 | 353 | 375 | 533 | 368 | 412 | 510 | 431 | 463 | 580 | 514 | 576 |
| +/- | 430 | 247 | 353 | 68 | 12 | -124 | -62 | -65 | -24 | -81 | -30 | -257 | -199 | -268 |
| BP | 19 | 13 | 9 | 8 | 8 | 8 | 6 | 5 | 13 | 7 | 11 | 7 | 9 | 7 |
| Pts | 79 | 69 | 67 | 52 | 48 | 44 | 42 | 41 | 41 | 39 | 39 | 25 | 21 | 19 |
