# Cost Comparison of Healthy vs Less-Healthy Grocery Staples (US Average Retail Prices)

| Category | Item (Healthy Choice) | Price (USD) | Unit | Comparable Item (Less-Healthy) | Price (USD) | Unit | Healthy Premium / Savings |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Breakfast | Plain rolled oats | 0.18 | per oz | Sugary cereal | 0.35 | per oz | -49% (cheaper) |
| Breakfast | Plain nonfat Greek yogurt | 0.16 | per oz | Flavored yogurt cups | 0.22 | per oz | -27% (cheaper) |
| Protein | Dry lentils | 0.12 | per oz | Processed deli meat | 0.55 | per oz | -78% (cheaper) |
| Protein | Canned tuna in water | 0.31 | per oz | Breaded frozen chicken nuggets | 0.29 | per oz | +7% (slightly higher) |
| Produce | Apples (bulk) | 0.14 | per oz | Potato chips | 0.28 | per oz | -50% (cheaper) |
| Produce | Frozen mixed vegetables | 0.09 | per oz | Fries (frozen) | 0.13 | per oz | -31% (cheaper) |
| Drinks | Tap water (home) | 0.00 | per 12 oz | Soda (12 oz can) | 0.75 | per 12 oz | -100% (cheaper) |
| Drinks | Unsweetened tea (home brewed) | 0.08 | per 12 oz | Sweetened bottled tea | 1.50 | per 16.9 oz | -70% (cheaper) |
| Snacks | Unsalted peanuts (bulk) | 0.25 | per oz | Candy bar | 0.45 | per oz | -44% (cheaper) |
| Grains | Brown rice (dry) | 0.07 | per oz | Boxed macaroni & cheese | 0.20 | per oz | -65% (cheaper) |
