# Food Types by Animal Diet (Animals as the Primary Entries)

| Animal | Diet Type | Primary Food Item | Food Category | Notes |
|---|---|---|---|---|
| Parakeet | Omnivore (mostly seeds) | Millet | Grain/seed | Common bird feed |
| Rabbit | Herbivore | Timothy hay | Grass/forage | High fiber |
| Cat | Carnivore | Chicken | Meat | High protein |
| Dog | Omnivore | Kibble | Prepared food | Commercially formulated |
| Goldfish | Omnivore | Flake food | Prepared feed | Floating flakes |
| Tortoise | Herbivore | Leafy greens | Vegetable | Varies by species |
| Hamster | Omnivore | Sunflower seeds | Seed | Energy-dense |
| Iguana | Herbivore | Collard greens | Vegetable | Calcium considerations |
| Ferret | Carnivore | Turkey | Meat | High animal protein |
| Cockatiel | Omnivore (mostly pellets) | Pellets | Prepared feed | Balanced commercial diet |
