# Disease List with Severity and Incidence (Limited Exposure Detail)

| Disease | Type | Typical severity | Annual cases (approx.) | Primary affected organ system | Control measure (general) |
|---|---|---|---:|---|---|
| Tuberculosis | Infectious | High | 10,000,000 | Respiratory | Antibiotics; vaccination |
| Malaria | Infectious | Moderate-High | 250,000,000 | Blood | Antimalarials |
| Cholera | Infectious | High | 1,300,000 | Gastrointestinal | Rehydration |
| Dengue | Infectious | Moderate | 100,000,000 | Systemic | Supportive care |
| Rabies | Infectious | Very high | 59,000 deaths | Neurologic | Post-exposure prophylaxis |
| Hepatitis A | Infectious | Low-Moderate | 1,400,000 | Liver | Vaccination |
| HIV/AIDS | Infectious | High | 1,300,000 new | Immune | Antiretrovirals |
| Measles | Infectious | Moderate-High | 9,000,000 | Respiratory | Vaccination |
| Typhoid fever | Infectious | Moderate | 11,000,000 | Gastrointestinal | Antibiotics |
| Influenza | Infectious | Variable | 1,000,000,000 infections | Respiratory | Vaccination |
