# Romanian Football Clubs Grouped by City (Examples)

| City | Country | Associated football clubs (examples) | Notes |
|---|---|---|---|
| Bucharest | Romania | FCSB (Steaua București); Dinamo București; Rapid București; Progresul București | Capital city with multiple major clubs |
| Cluj-Napoca | Romania | CFR Cluj; Universitatea Cluj | Two prominent local rivals |
| Timișoara | Romania | Politehnica Timișoara; Ripensia Timișoara | City known for historic clubs |
| Craiova | Romania | Universitatea Craiova; FC U Craiova 1948 | Two clubs commonly associated with the city |
| Ploiești | Romania | Petrolul Ploiești | Traditional top-flight presence |
| Arad | Romania | UTA Arad | Notable domestic success |
| Oradea | Romania | CA Oradea | Historic club name used in records |
| Petroșani | Romania | Jiul Petroșani | Club associated with the Jiu Valley |
| Bistrița | Romania | Gloria Bistrița | Well-known regional club |
| Drobeta-Turnu Severin | Romania | CFR Turnu Severin | Club linked to the city’s railway tradition |
