# Google Play — App Review Scores Snapshot (Ratings-Based Comparison)

| App (Google product/service) | Platform | Average Rating (out of 5) | Total Ratings | 5★ Share | 1★ Share | Score Tier |
| --- | --- | ---: | ---: | ---: | ---: | --- |
| Google Maps | Android | 4.2 | 17500000 | 72% | 8% | Strong (4.0–4.4) |
| YouTube | Android | 4.1 | 155000000 | 70% | 10% | Strong (4.0–4.4) |
| Gmail | Android | 4.3 | 13500000 | 75% | 7% | Strong (4.0–4.4) |
| Google Photos | Android | 4.4 | 52000000 | 78% | 6% | Excellent (4.4+) |
| Google Drive | Android | 4.3 | 11000000 | 74% | 7% | Strong (4.0–4.4) |
| Google Meet | Android | 4.0 | 12000000 | 66% | 12% | Strong (4.0–4.4) |
| Google Translate | Android | 4.5 | 9200000 | 80% | 5% | Excellent (4.4+) |
| Google Chrome | Android | 4.2 | 43000000 | 73% | 8% | Strong (4.0–4.4) |
| Google Keep | Android | 4.6 | 1500000 | 83% | 4% | Excellent (4.4+) |
| Google Calendar | Android | 4.5 | 3800000 | 81% | 5% | Excellent (4.4+) |
