# Arthritis Medication Classes  NSAIDs vs DMARDs vs Biologics (Comprehensive List)

| Medication class | Generic name | Brand example | Mechanism snapshot | Notes |
|---|---|---|---|---|
| NSAID | meloxicam | Mobic | COX inhibition | Symptomatic relief |
| NSAID | indomethacin | Indocin | COX inhibition | Symptomatic relief |
| NSAID | diclofenac | Voltaren | COX inhibition | Symptomatic relief |
| Conventional DMARD | methotrexate | Rheumatrex | Antimetabolite; immune modulation | Disease-modifying therapy |
| Conventional DMARD | leflunomide | Arava | Pyrimidine synthesis inhibition | Disease-modifying therapy |
| Conventional DMARD | sulfasalazine | Azulfidine | Anti-inflammatory/immune effects | Disease-modifying therapy |
| Biologic DMARD (TNF inhibitor) | etanercept | Enbrel | TNF blockade | Infection risk monitoring |
| Biologic DMARD (TNF inhibitor) | adalimumab | Humira | TNF blockade | Infection risk monitoring |
| Targeted synthetic DMARD (JAK inhibitor) | tofacitinib | Xeljanz | JAK inhibition | Thrombosis warnings |
