# EU Accession Year by Country (Member-State Join Year List)

| Country | Year joined the EU |
|---|---|
| Belgium | 1958 |
| France | 1958 |
| Germany | 1958 |
| Italy | 1958 |
| Luxembourg | 1958 |
| Netherlands | 1958 |
| Denmark | 1973 |
| Ireland | 1973 |
| United Kingdom | 1973 |
| Greece | 1981 |
| Portugal | 1986 |
| Spain | 1986 |
| Austria | 1995 |
| Finland | 1995 |
| Sweden | 1995 |
| Cyprus | 2004 |
| Czech Republic | 2004 |
| Estonia | 2004 |
| Hungary | 2004 |
| Latvia | 2004 |
| Lithuania | 2004 |
| Malta | 2004 |
| Poland | 2004 |
| Slovakia | 2004 |
| Slovenia | 2004 |
| Bulgaria | 2007 |
| Romania | 2007 |
| Croatia | 2013 |
