# Household Chemical Ingredients  Strength Values Mixed with Hazard Classes and Regulatory Labels

| Ingredient | Example household product category | Stated concentration (% w/w or % v/v) | GHS signal word | Hazard class (example) | Regulatory note (example) |
|---|---|---:|---|---|---|
| Sodium hypochlorite | Laundry bleach | 5–8.25% | Danger | Skin corrosion | Often requires child-resistant packaging in some regions |
| Hydrogen peroxide | First-aid antiseptic | 3% | Warning | Eye irritation | OTC labeling varies by country |
| Isopropyl alcohol | Rubbing alcohol | 70% v/v | Danger | Flammable liquid | Transport restrictions for aerosols |
| Acetic acid | White vinegar | 5% | null | Not classified at this level | Food-grade vs cleaning-grade claims differ |
| Ammonium hydroxide | Ammonia cleaner | 2–10% | Warning | Acute toxicity (inhalation) | Ventilation statements commonly required |
| Sodium hydroxide | Drain opener | 10–50% | Danger | Corrosive to metals/skin | Classified as corrosive for shipping above certain % |
| Hydrochloric acid | Toilet bowl cleaner | 9–12% | Danger | Skin corrosion | Corrosive pictograms used on label |
| Sodium percarbonate | Oxygen bleach | 10–30% in powder | Warning | Oxidizer (solid) | Storage away from moisture |
| Ethylene glycol | Antifreeze (household garage) | 30–60% | Warning | Acute toxicity | Bitterant requirements in some jurisdictions |
| Quaternary ammonium compounds | Disinfectant spray | 0.05–0.2% | Warning | Skin irritation | EPA/biocide registration determines claims |
