# Handball Results - 2008 Beijing Summer Olympics - USATODAY.com

| Denmark | Kasper Hvidt | Lasse Boesen | Lars Troels Joergensen | Jesper Jensen | Lars Roslyng Christiansen | Peter Henriksen | Bo Spellerberg | Mikkel Hansen | Jesper Noeddesbo | Kasper Soendergaard Sarup | Joachim Rietveld Boldsen | Hans Ottar Lindberg | Klavs Bruun Joergensen | Totals: |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| GM,A | 0,0 | 0,0 | 1,1 | 4,5 | 7,8 | 0,0 | 0,2 | 8,10 | 6,7 | 4,4 | 0,0 | 7,7 | 0,1 | 37,45 |
| PM,A | 0,0 | 0,0 | 0,0 | 0,0 | 1,1 | 0,0 | 0,0 | 0,0 | 0,0 | 0,0 | 0,0 | 0,0 | 0,0 | 1,1 |
| AS | 0 | 0 | 1 | 6 | 0 | 2 | 2 | 3 | 1 | 2 | 1 | 1 | 0 | 19 |
| TF | 0 | 0 | 1 | 2 | 1 | 0 | 1 | 0 | 3 | 2 | 0 | 1 | 2 | 13 |
| ST | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 3 | 1 | 0 | 6 |
| BS | 0 | 0 | 3 | 2 | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 0 | 0 | 8 |
| YC | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 3 |
| 2M | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 4 |
| RC | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
| EX | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
