# WWE Day of Reckoning Walkthrough - GameSpot

| WRESTLER | Kurt Angle | Triple H | The Rock | Chris Benoit | Undertaker | Eddie Guerrero | Shawn Michaels | John Cena | Chris Jericho | Randy Orton | Roddy Piper | Batista | Rob Van Dam | Edge | Rey Mysterio | Ric Flair | Kane | Christian | Big Show | Booker T | Matt Hardy | Shelton Benjamin | Charlie Haas | Chavo Guerrero | Lance Storm | Rhyno | Val Venis | Hardcore Holly | Victoria | Danny Basham | Doug Basham | Trish Stratus | Mark Jindrak | Garrison Cade | Stacy Keibler | Molly Holly |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| OVR | 92 | 88 | 88 | 86 | 84 | 83 | 82 | 81 | 81 | 80 | 75 | 74 | 74 | 74 | 73 | 72 | 72 | 71 | 68 | 68 | 68 | 68 | 68 | 68 | 64 | 63 | 63 | 62 | 57 | 55 | 55 | 55 | 54 | 54 | 52 | 52 |
| STR | 7.5 | 9 | 8 | 8 | 8.5 | 7 | 6 | 8 | 6 | 7 | 6.5 | 9 | 5.5 | 6.5 | 5 | 5 | 9.5 | 6 | 9.5 | 6.5 | 5.5 | 6 | 5 | 5.5 | 5.5 | 7.5 | 5.5 | 7 | 3.5 | 5.5 | 5.5 | 2.5 | 6.5 | 6.5 | 2 | 3 |
| SPD | 7 | 6 | 6.5 | 6.5 | 5 | 7 | 7 | 6 | 7 | 6.5 | 4 | 4 | 8.5 | 7 | 9.5 | 4 | 3.5 | 6.5 | 2.5 | 5.5 | 6.5 | 6.5 | 6.5 | 7.5 | 6 | 5 | 5.5 | 5.5 | 6 | 5 | 5 | 6.5 | 4 | 4.5 | 5.5 | 6 |
| DUR | 8 | 9 | 8.5 | 8 | 9 | 7.5 | 8 | 7.5 | 7 | 7.5 | 7 | 7.5 | 6 | 6 | 5.5 | 6.5 | 8 | 6 | 7.5 | 5.5 | 6 | 5 | 5.5 | 5 | 5 | 6 | 5 | 5 | 4 | 4 | 4 | 3.5 | 4 | 4 | 2.5 | 3.5 |
| CTR | 8.5 | 8 | 7.5 | 7 | 7 | 7.5 | 8 | 7 | 7.5 | 7 | 7 | 6 | 7.5 | 6.5 | 6.5 | 6 | 6 | 6 | 4.5 | 5 | 5.5 | 5.5 | 6 | 5.5 | 5 | 4 | 5 | 4.5 | 4 | 4.5 | 4.5 | 5 | 4 | 4 | 3.5 | 4.5 |
| CHR | 8 | 7.5 | 9.5 | 6.5 | 8.5 | 7.5 | 8 | 8.5 | 7.5 | 7.5 | 8 | 6.5 | 7 | 6.5 | 7 | 7.5 | 5 | 7 | 5.5 | 7 | 6.5 | 6 | 5 | 4.5 | 4 | 4.5 | 6 | 4.5 | 6 | 4 | 4 | 7 | 4 | 3.5 | 8 | 4 |
| SUB | 9 | 7 | 7 | 9.5 | 6.5 | 7.5 | 6 | 5.5 | 7.5 | 6.5 | 6.5 | 5.5 | 4 | 6 | 4 | 8 | 5 | 5 | 5.5 | 5 | 4.5 | 5.5 | 7 | 6.5 | 7 | 4.5 | 5 | 4.5 | 4.5 | 4 | 4 | 3.5 | 4 | 4 | 3.5 | 4 |
| SPECIAL MOVES | Angle Slam, Multiple German Suplex | Pedigree | Rock Bottom, Peoples Elbow | Crippler Crossface, Sharpshooter | Tombstone Pile Driver, Rest in Peace | Triple Suplex, Tiger Suplex | Sweet Chin Music, Diving Elbow Drop 01 | F-U, Protoplex | Walls of Jericho | RKO | Double Arm Suplex, Grapevine Choke | Sit Down Power Bomb, Tilt Slam | Combination Kick, High Angle Rolling Clutch Pin | Edgecution, Edgecator | Mysterio Rama, 619 | Nature Boy Figure 4 | Choke Slam from Hell | Unprettier | Show Stopper | Scissors Kick, Rolling Guillotine Leg Drop | Twist of Fate, Mattitude Guillotine Leg Drop | Super Kick, German Suplex | Exploder, German Suplex Pin | Brainbuster, High Angle Rolling Clutch Pin | Super Kick, Back Drop Pin | Rolling Spine Buster, Tilt Slam | Half Nelson Slam, Grand Cross 200 | Alabama Slam | Widows Peak | Clothesline-R | Tilt Slam | Stratusfaction, Giant Swing | Mark of Excellence | Suplex, Diving Elbow Drop 01 | Full Swinging Slap | Northern Light Suplex Pin, Maya Suplex Pain |
| MOMENTUM SHIFT | Low Blow 02 | Low Blow 03 | Low Blow 01 | Multiple German Suplex | Choke Slam | Low Blow 02 | Low Blow 01 | Five Knuckle Shuffle | Low Blow 01 | Low Blow 03 | Low Blow 03 | Leviathan Spine Buster | Low Blow 01 | Edge O Matic | X-Factor | Nature Boy Special | Tombstone Pile Driver | Low Blow 03 | Final Cut | Low Blow 02 | Low Blow 03 | Capture Suplex | Super Eye Poke | Super Eye Poke | Low Blow 01 | Alleyoop | Super Eye Poke | Low Blow 01 | Full Swinging Slap | Super Eye Poke | Super Eye Poke | Full Swinging Slap | Grappling Low Blow | Grappling Low Blow | Golden Hip | Full Swinging Slap |
