# 2009 NHL Stanley Cup Playoffs Summary | Hockey-Reference.com

| Rk | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 16 |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Team | Pittsburgh Penguins | Detroit Red Wings | Chicago Blackhawks | Carolina Hurricanes | Boston Bruins | Anaheim Ducks | Washington Capitals | Vancouver Canucks | New Jersey Devils | New York Rangers | Philadelphia Flyers | San Jose Sharks | Calgary Flames | Montreal Canadiens | Columbus Blue Jackets | St. Louis Blues | League Average |
| GP | 24 | 23 | 17 | 18 | 11 | 13 | 14 | 10 | 7 | 7 | 6 | 6 | 6 | 4 | 4 | 4 | 10.9 |
| W | 16 | 15 | 9 | 8 | 7 | 7 | 7 | 6 | 3 | 3 | 2 | 2 | 2 | 0 | 0 | 0 | 5.4 |
| L | 8 | 8 | 8 | 10 | 4 | 6 | 7 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 5.4 |
| T | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.0 |
| OW | 3 | 2 | 3 | 3 | 0 | 1 | 1 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1.2 |
| OL | 1 | 2 | 2 | 1 | 2 | 1 | 2 | 1 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 1 | 1.2 |
| W-L% | .667 | .652 | .529 | .444 | .636 | .538 | .500 | .600 | .429 | .429 | .333 | .333 | .333 | .000 | .000 | .000 | .500 |
| G | 79 | 76 | 54 | 42 | 34 | 35 | 41 | 30 | 15 | 11 | 16 | 10 | 16 | 6 | 7 | 5 | 29.8 |
| GA | 64 | 48 | 54 | 52 | 22 | 32 | 38 | 28 | 17 | 19 | 18 | 18 | 21 | 17 | 18 | 11 | 29.8 |
| DIFF | 15 | 28 | 0 | -10 | 12 | 3 | 3 | 2 | -2 | -8 | -2 | -8 | -5 | -11 | -11 | -6 | 0 |
