# Currencies by Region (Currency Names Grouped, No Symbols)

| Region | Country | Currency name | Common notation on receipts |
|---|---|---|---|
| North America | United States | US Dollar | Dollar |
| North America | Canada | Canadian Dollar | Dollar |
| Europe | United Kingdom | Pound Sterling | Pound |
| Europe | Switzerland | Swiss Franc | Franc |
| Asia | Japan | Japanese Yen | Yen |
| Asia | China | Renminbi (Yuan) | Yuan |
| Asia | India | Indian Rupee | Rupee |
| Oceania | Australia | Australian Dollar | Dollar |
| Oceania | New Zealand | New Zealand Dollar | Dollar |
| South America | Brazil | Brazilian Real | Real |
| South America | Mexico | Mexican Peso | Peso |
