# Breakfast Cereal Nutrition Facts (Units Listed, Amounts Missing)

| Nutrient (per serving) | Unit | Honey Oat Rings | Chocolate Crisps | Bran Flakes | Corn Squares |
| --- | --- | --- | --- | --- | --- |
| Energy | kcal | — | — | — | — |
| Total Fat | g | — | — | — | — |
| Saturated Fat | g | — | — | — | — |
| Carbohydrate | g | — | — | — | — |
| Sugars | g | — | — | — | — |
| Fiber | g | — | — | — | — |
| Protein | g | — | — | — | — |
| Sodium | mg | — | — | — | — |
| Iron | mg | — | — | — | — |
