# Country-Level Science Output and R&D Statistics (Selected Indicators)

| Country | R&D spending (% of GDP) | Researchers per million | Patents filed (annual) | Nobel prizes (all-time) | STEM graduates (annual) | Notes |
| --- | --- | --- | --- | --- | --- | --- |
| United States | 3.4 | 4,400 | 590,000 | 400+ | 800,000 | Large private + federal research ecosystem |
| China | 2.6 | 1,300 | 1,400,000 | 10+ | 1,800,000 | Rapid growth in publications and patents |
| Germany | 3.1 | 4,900 | 180,000 | 100+ | 300,000 | Strong engineering and applied research |
| Japan | 3.2 | 5,300 | 290,000 | 30+ | 250,000 | High patenting intensity |
| United Kingdom | 2.9 | 4,500 | 70,000 | 130+ | 220,000 | Strong universities and biomedical research |
| South Korea | 4.9 | 7,900 | 210,000 | 10+ | 160,000 | Very high R&D intensity |
| France | 2.2 | 4,300 | 65,000 | 70+ | 200,000 | Major public research agencies |
| India | 0.7 | 250 | 60,000 | 10+ | 900,000 | Growing but lower R&D share |
| Canada | 1.7 | 4,200 | 35,000 | 30+ | 120,000 | Strong in AI and health |
| Australia | 1.9 | 4,800 | 25,000 | 15+ | 110,000 | Strength in earth and medical sciences |
