# Religions by Country with Narrative Theological Notes (Non-compositional Commentary)

| Country | Majority religion (label) | Approx. majority share (%) | Commentary focus | Key theological/narrative note | Source type |
|---|---|---:|---|---|---|
| Saudi Arabia | Islam | 95 | Doctrine | Emphasis on tawhid and state-backed orthodoxy | Narrative summary |
| Israel | Judaism | 74 | Sacred history | Covenant tradition and historical identity | Commentary |
| India | Hinduism | 79 | Philosophy | Dharma and moksha as guiding concepts | Commentary |
| Thailand | Buddhism | 93 | Practice | Merit-making and monastic institutions | Narrative summary |
| United States | Christianity | 65 | Pluralism | Denominational diversity and civil religion themes | Essay-like |
| China | Folk/null | 55 | Syncretism | Blending of traditions in daily life | Narrative summary |
| Iran | Islam | 99 | Theology | Shia jurisprudence and clerical authority | Commentary |
| Japan | null | 60 | Ritual | Seasonal rites more than doctrinal affiliation | Narrative summary |
| Brazil | Christianity | 86 | Charismatic movements | Pentecostal growth narratives | Commentary |
| Nigeria | Christianity/Islam | 49 | Conflict narrative | Regional religious tensions described | Commentary |
