# U.S. Territories and Their Capitals (Administrative Reference Table)

| Insular Area | Abbrev. | Capital | Establishment Date | Notes |
|---|---|---|---:|---|
| American Samoa | AS | Pago Pago | 1899 | De facto capital referenced in governance documents |
| Guam | GU | Hagåtña | 1898 | Largest village differs from capital |
| Northern Mariana Islands | MP | Saipan | 1947 | Commonwealth capital |
| Puerto Rico | PR | San Juan | 1898 | Historical naming notes |
| U.S. Virgin Islands | VI | Charlotte Amalie | 1917 | Territorial capital |
| District of Columbia | DC | Washington, D.C. | 1790 | Federal district (not a state) |
| Federated States of Micronesia | FM | Palikir | 1979 | National capital |
| Marshall Islands | MH | Majuro | 1979 | Atoll capital |
| Palau | PW | Ngerulmud | 1994 | Seat of government |
