# Incubation Periods, Symptom Profiles, and Diagnostic Tests for Common Waterborne and Foodborne Diseases

| Disease | Primary symptom cluster | Median incubation | Diagnostic test commonly used | Typical duration (untreated) | Severity indicators |
| --- | --- | --- | --- | --- | --- |
| Norovirus gastroenteritis | Vomiting, watery diarrhea, cramps | 24–48 h | RT-PCR (stool) | 1–3 days | Dehydration |
| Giardiasis | Greasy diarrhea, bloating, fatigue | 1–2 weeks | Stool antigen/NAAT | Weeks | Weight loss |
| Cryptosporidiosis | Watery diarrhea, nausea | 2–10 days | Acid-fast stain/NAAT | 1–2 weeks | Prolonged illness in immunocompromised |
| Cholera | Rice-water stools, vomiting | 12 h–5 days | Stool culture/rapid test | Days | Severe dehydration, shock |
| Typhoid fever | Stepwise fever, abdominal pain | 6–30 days | Blood culture | Weeks | Delirium, GI bleeding |
| Hepatitis A | Malaise, anorexia, jaundice | 15–50 days | Anti-HAV IgM | Weeks–months | Marked ALT elevation |
| E. coli O157:H7 | Bloody diarrhea, cramps | 1–8 days | Stool culture/Shiga toxin assay | 5–10 days | HUS |
| Salmonellosis (non-typhoidal) | Diarrhea, fever, cramps | 6–72 h | Stool culture | 4–7 days | Bacteremia risk |
| Campylobacteriosis | Diarrhea, fever, abdominal pain | 2–5 days | Stool culture/NAAT | ~1 week | Guillain–Barré association |
| Listeriosis | Fever, myalgia; meningitis in severe cases | 1–70 days | Blood/CSF culture | Variable | Pregnancy loss, sepsis |
