# Global Cigarette Brand Share Index — Top Brands Comparison (Share-based Index, 2022)

| Brand | Parent company | Share index (Global = 100) | Share-based position | Primary regions of strength | Notes |
| --- | --- | ---: | ---: | --- | --- |
| Marlboro | Philip Morris International | 225 | 1 | North America, EU, Asia | Global flagship brand |
| Winston | Japan Tobacco International | 85 | 2 | Eastern Europe, Asia | Strong in several export markets |
| Camel | R.J. Reynolds (BAT) | 70 | 3 | North America, Middle East | International presence varies |
| L&M | Philip Morris International | 55 | 4 | EU, Middle East, Latin America | Often positioned as value |
| Lucky Strike | British American Tobacco | 50 | 5 | EU, Latin America | Long-running international brand |
| Parliament | Philip Morris International | 45 | 6 | Middle East, Asia | Premium positioning |
| Newport | R.J. Reynolds (BAT) | 40 | 7 | North America | Menthol-led strength |
| Dunhill | British American Tobacco | 35 | 8 | Asia, Middle East | Premium focus |
| Kent | British American Tobacco | 30 | 9 | Eastern Europe, Asia | Broad international footprint |
| Other brands (combined) | Multiple | 265 | 10 | Global | Remainder of market |
