# NHL Goalies  Age and Games Played (Not Organized Around Games Editions)

| Goalie | Team | Age | Games Played | Season Note |
|---|---|---:|---:|---|
| Peter Budaj | Montreal | 27 | 243 | Career total at time of post |
| Alex Auld | Montreal | 30 | 226 | Career total at time of post |
| Ty Conklin | Detroit | 35 | 203 | Career total at time of post |
| Mike Smith | Phoenix | 29 | 172 | Career total at time of post |
| Brian Elliott | St. Louis | 26 | 149 | Career total at time of post |
| Jimmy Howard | Detroit | 27 | 145 | Career total at time of post |
| Jason LaBarbera | Phoenix | 31 | 144 | Career total at time of post |
| Ondrej Pavelec | Winnipeg | 24 | 132 | Career total at time of post |
| Corey Crawford | Chicago | 26 | 77 | Career total at time of post |
| Michal Neuvirth | Washington | 23 | 74 | Career total at time of post |
| Jonas Gustavsson | Toronto | 27 | 74 | Career total at time of post |
