# Professional Wrestlers — Titles Held (No Dates)

| Wrestler | Primary Promotion | Notable Title Held | Times Held | Weight Class/Division | Notes |
| --- | --- | --- | --- | --- | --- |
| Kazuchika Okada | NJPW | IWGP World Heavyweight Championship | 2 | Heavyweight | Ace-level champion |
| Kenny Omega | AEW/NJPW | AEW World Championship | 1 | Heavyweight | International star |
| Roman Reigns | WWE | WWE Universal Championship | 1+ | Heavyweight | Long dominant run |
| Jon Moxley | AEW/WWE | AEW World Championship | 3 | Heavyweight | Known for brawling style |
| AJ Styles | WWE/TNA/NJPW | WWE Championship | 2 | Heavyweight | Multi-promotion success |
| Charlotte Flair | WWE | WWE Raw/SmackDown Women's Championship | 10+ | Women's | Multiple reigns |
| Becky Lynch | WWE | WWE Raw Women's Championship | 2 | Women's | Top draw |
| Hiroshi Tanahashi | NJPW | IWGP Heavyweight Championship | 8 | Heavyweight | Classic-era legend |
| Sting | WCW/TNA/AEW | WCW World Heavyweight Championship | 6 | Heavyweight | Iconic veteran |
| Rey Mysterio | WWE/WCW | WWE World Heavyweight Championship | 2 | Cruiserweight | High-flying style |
| Samoa Joe | TNA/WWE/AEW | NXT Championship | 1 | Heavyweight | Power and technique |
