# Beijing 2008 Olympics  Countries Ranked by Gold Share (Gold Emphasis, No Full Breakdown)

| Rank | Country | Gold Medals | Total Medals | Gold Share (%) |
|---:|---|---:|---:|---:|
| 1 | China | 51 | 100 | 51.0 |
| 2 | United States | 36 | 110 | 32.7 |
| 3 | Russia | 23 | 72 | 31.9 |
| 4 | Great Britain | 19 | 47 | 40.4 |
| 5 | Germany | 16 | 41 | 39.0 |
| 6 | Australia | 14 | 46 | 30.4 |
| 7 | South Korea | 13 | 31 | 41.9 |
| 8 | Japan | 9 | 25 | 36.0 |
| 9 | Italy | 8 | 28 | 28.6 |
| 10 | France | 7 | 40 | 17.5 |
| 11 | Ukraine | 7 | 27 | 25.9 |
| 12 | Netherlands | 7 | 16 | 43.8 |
| 13 | Spain | 5 | 18 | 27.8 |
| 14 | Kenya | 5 | 14 | 35.7 |
| 15 | Canada | 3 | 18 | 16.7 |
