# Ibanez Artist Endorsements and Signature Releases (Selected)

| Artist | Band/Project | Signature Model | Release Year | Notable Album/Track Tie-in | Touring Notes |
|---|---|---|---:|---|---|
| Steve Vai | Solo | JEM | 1987 | "Passion and Warfare" era | Stadium rock clinics & tours |
| Joe Satriani | Solo | JS Series | 1988 | "Surfing with the Alien" | Instrumental rock tours |
| Paul Gilbert | Mr. Big | PGM | 1990 | "To Be With You" | Shred-focused live sets |
| Herman Li | DragonForce | EGEN | 2011 | "Through the Fire and Flames" | High-speed metal tours |
| Munky | Korn | K7 | 2002 | "Here to Stay" | Nu-metal festival circuits |
| Nita Strauss | Solo/Alice Cooper | JIVA | 2018 | "Victorious" | Arena support tours |
| Tim Henson | Polyphia | TOD10N | 2022 | "Playing God" | Modern prog tours |
| Marty Friedman | Solo | MDR | 2014 | "Inferno" | International clinics |
| Ichika Nito | Solo | ICHI10 | 2021 | YouTube releases | Social media performances |
