# Dividend ETF Holdings Snapshot (Top Constituents with Weights)

| Fund Ticker | Fund Name | Holding Ticker | Holding Name | Weight | Fund Yield | Rebalance Frequency |
|---|---|---|---|---:|---:|---|
| SCHD | Schwab U.S. Dividend Equity ETF | AVGO | Broadcom Inc. | 4.6% | 3.5% | Quarterly |
| SCHD | Schwab U.S. Dividend Equity ETF | PEP | PepsiCo Inc. | 4.3% | 3.5% | Quarterly |
| SCHD | Schwab U.S. Dividend Equity ETF | TXN | Texas Instruments Inc. | 4.1% | 3.5% | Quarterly |
| VYM | Vanguard High Dividend Yield ETF | JPM | JPMorgan Chase & Co. | 3.2% | 3.1% | Quarterly |
| VYM | Vanguard High Dividend Yield ETF | XOM | Exxon Mobil Corp. | 2.8% | 3.1% | Quarterly |
| VYM | Vanguard High Dividend Yield ETF | JNJ | Johnson & Johnson | 2.5% | 3.1% | Quarterly |
| HDV | iShares Core High Dividend ETF | CVX | Chevron Corp. | 6.9% | 3.6% | Semiannual |
| HDV | iShares Core High Dividend ETF | ABBV | AbbVie Inc. | 6.4% | 3.6% | Semiannual |
| HDV | iShares Core High Dividend ETF | KO | The Coca-Cola Co. | 5.8% | 3.6% | Semiannual |
| DGRO | iShares Core Dividend Growth ETF | MSFT | Microsoft Corp. | 5.2% | 2.3% | Annual |
