# English Football Clubs by City with Stadium and League Tier (2023–24)

| City | Football Club | Home Ground | League Tier |
|---|---|---|---|
| Manchester | Manchester City | Etihad Stadium | 1 |
| Manchester | Manchester United | Old Trafford | 1 |
| Liverpool | Liverpool | Anfield | 1 |
| Liverpool | Everton | Goodison Park | 1 |
| London | Arsenal | Emirates Stadium | 1 |
| London | Chelsea | Stamford Bridge | 1 |
| Newcastle upon Tyne | Newcastle United | St James' Park | 1 |
| Birmingham | Aston Villa | Villa Park | 1 |
| Leeds | Leeds United | Elland Road | 2 |
| Leicester | Leicester City | King Power Stadium | 2 |
