# NovaEnergy Ltd. - Income Statement Highlights and Valuation Multiples

| Item | 1H2022 | 1H2023 | 1H2024 | Comment |
|---|---:|---:|---:|---|
| Revenue | 12,600 | 11,950 | 13,400 | EUR m |
| Gross Margin | 28.0% | 26.5% | 29.2% |  |
| EBITDA | 3,050 | 2,620 | 3,240 |  |
| EBIT | 1,980 | 1,540 | 2,120 |  |
| Net Income | 1,120 | 860 | 1,230 |  |
| EPS | 1.45 | 1.10 | 1.58 | Per-share |
| P/E (LTM) | 14.2x | 16.8x | 13.5x | Valuation multiple |
| EV/EBITDA (LTM) | 7.6x | 8.4x | 7.1x | Valuation multiple |
| Price-to-Sales (LTM) | 1.2x | 1.0x | 1.1x | Valuation multiple |
| Total Shareholder Return | -6.0% | 9.5% | 12.3% | Stock performance |
