# Household Laundry & Dishwashing Ingredient Strengths (Percent of Formula)

| Ingredient | Product category (household) | Stated concentration range | Basis | Strength unit |
|---|---|---|---|---|
| Linear alkylbenzene sulfonate (LAS) | Laundry detergent (powder) | 5–15% | w/w | % by mass |
| Sodium laureth sulfate (SLES) | Dishwashing liquid | 5–12% | w/w | % by mass |
| Sodium carbonate | Laundry detergent (powder) | 10–30% | w/w | % by mass |
| Sodium silicate | Automatic dishwasher detergent | 2–8% | w/w | % by mass |
| Sodium percarbonate | Oxygen bleach (laundry additive) | 10–30% | w/w | % by mass |
| Sodium perborate | Oxygen bleach (older formulations) | 5–20% | w/w | % by mass |
| Protease enzymes | Laundry detergent | 0.2–1.0% | w/w | % by mass |
| Optical brighteners | Laundry detergent | 0.05–0.30% | w/w | % by mass |
| Citric acid | Dishwasher rinse aid / cleaner | 1–10% | w/w | % by mass |
| Sodium chloride | Dishwashing liquid (viscosity control) | 1–5% | w/w | % by mass |
| Ethanol | Glass cleaner | 1–10% | v/v | % by volume |
| 2-Butoxyethanol | Glass/all-purpose cleaner | 0.5–5% | w/w | % by mass |
