# Breed Recognition Quick Guide (Size, Coat, Ear Shape, Typical Job)

| Breed | Size (Adult) | Coat Type | Ear Shape | Typical Job/Role | Distinguishing Notes |
|---|---|---|---|---|---|
| Labrador Retriever | Large | Short, dense double coat | Drop | Retrieving, service | Otter tail; friendly, steady temperament |
| German Shepherd Dog | Large | Medium double coat | Erect | Herding, police/military | Sloped back in some lines; alert expression |
| Border Collie | Medium | Medium (smooth/rough) | Semi-erect | Herding | Intense “eye”; very high drive |
| Golden Retriever | Large | Medium-long feathered | Drop | Retrieving, therapy | Feathering on legs/tail; soft mouth |
| Siberian Husky | Medium | Thick double coat | Erect | Sled pulling | Masked face; sickle tail; high endurance |
| Beagle | Small-Medium | Short | Drop | Scent hound | White-tipped tail; strong nose; baying voice |
| Dachshund | Small | Smooth/long/wire | Drop | Hunting (burrowing) | Very long body; short legs |
| Boxer | Medium-Large | Short | Drop | Guarding/companion | Square muzzle; playful, bouncy gait |
| Poodle (Standard) | Large | Curly | Drop | Water retrieving, sport | Tight curls; athletic; low-shedding coat |
| Rottweiler | Large | Short, dense | Drop | Guarding/working | Broad head; black-and-tan markings |
| Great Dane | Giant | Short | Drop | Companion/guard | Very tall; deep chest |
| Shih Tzu | Toy | Long, flowing | Drop | Companion | Short muzzle; topknot commonly groomed |
