# U.S. States (N–W)  Capital City vs. Largest City (City Proper, Not Metro)

| State | Capital (government seat) | Largest city (city proper) | Same city? | Notes |
|---|---|---|---|---|
| Nebraska | Lincoln | Omaha | No |  |
| Nevada | Carson City | Las Vegas | No |  |
| New Hampshire | Concord | Manchester | No |  |
| New Jersey | Trenton | Newark | No |  |
| New Mexico | Santa Fe | Albuquerque | No |  |
| New York | Albany | New York City | No | Largest city shown as the city (New York City), not an agglomeration. |
| North Carolina | Raleigh | Charlotte | No |  |
| North Dakota | Bismarck | Fargo | No |  |
| Ohio | Columbus | Columbus | Yes |  |
| Oklahoma | Oklahoma City | Oklahoma City | Yes |  |
| Oregon | Salem | Portland | No |  |
| Pennsylvania | Harrisburg | Philadelphia | No |  |
| Rhode Island | Providence | Providence | Yes |  |
| South Carolina | Columbia | Charleston | No |  |
| South Dakota | Pierre | Sioux Falls | No |  |
| Tennessee | Nashville | Nashville | Yes | Nashville is a consolidated metro government (city proper). |
| Texas | Austin | Houston | No |  |
| Utah | Salt Lake City | Salt Lake City | Yes |  |
| Vermont | Montpelier | Burlington | No |  |
| Virginia | Richmond | Virginia Beach | No |  |
| Washington | Olympia | Seattle | No |  |
| West Virginia | Charleston | Charleston | Yes |  |
| Wisconsin | Madison | Milwaukee | No |  |
| Wyoming | Cheyenne | Cheyenne | Yes |  |
