# Modern Prime Ministers of the United Kingdom (1940–2024)  party, start end, and how they entered office

| Prime Minister | Party | Took office | Left office | Entered office (typical route) | Notable context (brief) |
|---|---|---|---|---|---|
| Winston Churchill | Conservative | 1940 | 1945 | Appointed after leadership change in wartime | WWII coalition leadership |
| Clement Attlee | Labour | 1945 | 1951 | Won general election | Postwar reforms; welfare state |
| Harold Macmillan | Conservative | 1957 | 1963 | Succeeded as party leader/appointed | Post-Suez era; economic policy |
| Harold Wilson | Labour | 1964 | 1970 | Won general election | Social reforms; economic challenges |
| Edward Heath | Conservative | 1970 | 1974 | Won general election | UK entry into the EEC |
| James Callaghan | Labour | 1976 | 1979 | Succeeded as party leader/appointed | Late-1970s economic turmoil |
| Margaret Thatcher | Conservative | 1979 | 1990 | Won general election | Long tenure; major market reforms |
| John Major | Conservative | 1990 | 1997 | Succeeded as party leader/appointed | Early 1990s recession; Maastricht era |
| Tony Blair | Labour | 1997 | 2007 | Won general election | "New Labour" period |
| Gordon Brown | Labour | 2007 | 2010 | Succeeded as party leader/appointed | Global financial crisis period |
| David Cameron | Conservative | 2010 | 2016 | Formed coalition then won election | Brexit referendum held in 2016 |
| Theresa May | Conservative | 2016 | 2019 | Succeeded as party leader/appointed | Brexit negotiations |
| Boris Johnson | Conservative | 2019 | 2022 | Succeeded as party leader/appointed | Brexit completion; COVID era |
| Liz Truss | Conservative | 2022 | 2022 | Succeeded as party leader/appointed | Short tenure |
| Rishi Sunak | Conservative | 2022 | 2024 | Succeeded as party leader/appointed | 2020s economic pressures |
| Keir Starmer | Labour | 2024 | Incumbent | Won general election | Current PM |
