# Genes Encoding Human Peptide Hormones and Precursors

| Hormone/Peptide | Encoding Gene | Preprohormone/Precursor | Chromosome (Human) | Main Site of Expression | Notes |
|---|---|---|---|---|---|
| Insulin | INS | Preproinsulin | 11p15.5 | Pancreatic β-cells | Processed to insulin + C-peptide |
| Glucagon | GCG | Proglucagon | 2q24.2 | Pancreatic α-cells, gut | Yields GLP-1/GLP-2 fragments |
| Growth hormone | GH1 | Prepro-GH | 17q23.3 | Anterior pituitary | Pulsatile secretion |
| Prolactin | PRL | Prepro-PRL | 6p22.3 | Anterior pituitary | Lactotroph product |
| ACTH (from POMC) | POMC | Proopiomelanocortin | 2p23.3 | Pituitary corticotrophs | Also yields MSH, β-endorphin |
| ADH (vasopressin) | AVP | Prepro-AVP-neurophysin II | 20p13 | Hypothalamus/posterior pituitary | Co-packaged with neurophysin |
| Oxytocin | OXT | Prepro-oxytocin-neurophysin I | 20p13 | Hypothalamus/posterior pituitary | Paralog of AVP locus |
| PTH | PTH | Prepro-PTH | 11p15.3 | Parathyroid chief cells | Secreted as 84-aa peptide |
| Calcitonin | CALCA | Preprocalcitonin | 11p15.2 | Thyroid C-cells | Alternative splicing yields CGRP |
| Leptin | LEP | Prepro-leptin | 7q31.3 | Adipocytes | Circulating satiety signal |
| Ghrelin | GHRL | Prepro-ghrelin | 3p25.3 | Stomach | Acylation required for activity |
