# Infectious Diseases Overview  Symptoms and Risk Factors (Treatment Not Specified)

| Infection/condition | Typical symptoms | Common risk factors | Usual course/complications | Notes |
|---|---|---|---|---|
| Acute bronchitis (often viral) | Cough, wheeze, chest discomfort | Smoking, recent URI | Self-limited; prolonged cough | Antibiotics often not indicated |
| Viral gastroenteritis | Diarrhea, vomiting, cramps | Exposure, outbreaks | Dehydration | Supportive care emphasized |
| Infectious mononucleosis (EBV) | Sore throat, fatigue, lymphadenopathy | Adolescents/young adults | Splenomegaly, prolonged fatigue | Avoid contact sports if spleen enlarged |
| Scabies infestation | Intense nocturnal itching | Crowding, close contact | Secondary bacterial infection | Household contacts often affected |
| Ringworm (tinea corporis) | Annular scaly rash | Contact sports, pets | Spread to other sites | Dermatophyte infection |
| Bacterial vaginosis | Discharge, odor | New/multiple partners | Recurrence | Not strictly an STI |
| Acute otitis media | Ear pain, fever | Young age, daycare | TM perforation (rare) | Viral vs bacterial varies |
| Conjunctivitis | Redness, discharge | Contact with infected person | Keratitis (rare) | Allergic causes common |
| Lyme disease (early) | Erythema migrans, fever | Tick exposure | Disseminated disease | Geography matters |
| Herpes zoster | Painful dermatomal rash | Older age, immunosuppression | Postherpetic neuralgia | Vaccine prevents many cases |
