# Carbon Plate & Race-Day Running Shoes (Marathon 10K Focus)

| Segment | Shoe Model | Brand | Plate / Rods | Ride Type | Weight (men US 9) | Drop | Upper Material | Best For |
|---|---|---|---|---|---:|---:|---|---|
| Marathon racer | Vaporfly 3 | Nike | Full-length carbon plate | Very bouncy, aggressive rocker | 6.9 oz / 196 g | 8 mm | Engineered mesh | Marathon/half marathon racing |
| Marathon racer | Alphafly 2 | Nike | Carbon plate + Air pods | Highly cushioned, propulsive | 8.5 oz / 241 g | 8 mm | AtomKnit | Marathon racing, long fast efforts |
| Marathon/half | Adizero Adios Pro 3 | adidas | Carbon EnergyRods 2.0 | Firm-bouncy, stable for a super shoe | 7.5 oz / 213 g | 6.5 mm | Celermesh | Marathon/half racing |
| Marathon/half | Metaspeed Sky+ | ASICS | Full-length carbon plate | Long-stride friendly, fast turnover | 7.2 oz / 205 g | 5 mm | Engineered mesh | Marathon/half (stride-length biased) |
| Marathon/half | Metaspeed Edge+ | ASICS | Full-length carbon plate | Cadence friendly, quick transitions | 7.2 oz / 205 g | 8 mm | Engineered mesh | Marathon/half (cadence biased) |
| Marathon racer | Endorphin Pro 3 | Saucony | Carbon plate | Soft-bouncy with rocker | 7.2 oz / 204 g | 8 mm | Engineered mesh | Marathon/half racing |
| Marathon/half | FuelCell SuperComp Elite v3 | New Balance | Carbon plate | Soft, energetic | 7.5 oz / 213 g | 4 mm | Knit/mesh hybrid | Marathon/half racing |
| Marathon/half | Cloudboom Echo 3 | On | Carbon Speedboard | Firmer, snappy | 7.1 oz / 201 g | 9 mm | Engineered mesh | Half/marathon, faster road races |
| Racer / trainer | Deviate Nitro Elite 2 | PUMA | Carbon plate | Lively, slightly more stable | 7.0 oz / 198 g | 8 mm | Mono mesh | Marathon/half; fast long runs |
| 10K/half racer | Rocket X 2 | HOKA | Carbon plate | Very responsive, high cushion | 8.3 oz / 235 g | 5 mm | PEBA-based foam | 10K to marathon racing |
| Training companion | Endorphin Shift 3 | Saucony | null | High-stack, stable rocker | 9.4 oz / 266 g | 4 mm | Engineered mesh | Easy/long runs to pair with racers |
| Budget racer | Hyperion Elite 3 | Brooks | Carbon plate | Firm, quick | 7.8 oz / 221 g | 8 mm | Engineered mesh | 10K/half, workouts |
