# Average Lifespan Ranges for Selected Cat Breeds (Typical Household Conditions)

| Breed group | Example breed | Typical lifespan (years) | Common range (years) | Notes |
|---|---|---:|---:|---|
| Longhair | Persian | 12–15 | 10–17 | Lifespan influenced by respiratory and dental care; indoor living common |
| Shorthair | Siamese | 14–18 | 12–20 | Often noted for longevity with good preventive care |
| Large breed | Maine Coon | 11–14 | 10–16 | Large size can correlate with slightly shorter averages |
| Giant/large | Ragdoll | 12–16 | 10–17 | Indoor lifestyle typical; weight management matters |
| Hairless | Sphynx | 10–14 | 8–16 | Requires regular skin care; indoor-only recommended |
| Hybrid/large | Bengal | 12–16 | 10–18 | High activity; safety/containment affects outcomes |
| Natural breed | Norwegian Forest Cat | 13–17 | 12–18 | Generally sturdy; benefits from indoor living |
| Shorthair | British Shorthair | 12–16 | 10–18 | Obesity prevention and routine vet care important |
| Mixed-breed baseline | Domestic Shorthair (mixed) | 13–18 | 12–20 | Often used as a practical comparison point across households |
