# Ibanez RG Series Electric Guitars — Build & Setup Specification Comparison

| Category | Spec Item | RG450DX | RG550 Genesis | RG652AHM (Prestige) | RGA42FM | Notes (measurable setup) |
|---|---|---|---|---|---|---|
| Body | Body wood | Basswood | Basswood | Ash | Meranti | Wood affects weight/resonance; listed as manufacturer spec |
| Body | Top | null | null | null | Flamed maple (veneer) | Cosmetic/brightness; depends on thickness |
| Neck | Neck construction | Bolt-on | Bolt-on | Bolt-on | Bolt-on | Bolt-on is common for fast attack and serviceability |
| Neck | Neck wood | Maple | 5-piece maple/walnut | 5-piece maple/walnut | Maple | Multi-piece often targets stability |
| Neck | Scale length | 25.5 in | 25.5 in | 25.5 in | 25.5 in | Long scale = tighter feel at same tuning |
| Fretboard | Fretboard material | Jatoba | Maple | Maple | Jatoba | Material + finish influences feel |
| Fretboard | Fretboard radius | 400 mm | 430 mm | 430 mm | 400 mm | Radius is a setup spec affecting bends/action |
| Frets | Fret count / size | 24 / jumbo | 24 / jumbo | 24 / jumbo | 24 / jumbo | 24 frets typical on RG for upper access |
| Hardware | Bridge type | Double-locking tremolo | Edge-style double-locking tremolo | Lo-Pro-style double-locking tremolo | Fixed bridge | Trem vs hardtail changes tuning stability & feel |
| Electronics | Pickup configuration | H-S-H | H-S-H | H-S-H | H-H | Layout affects switching options |
| Electronics | Switching | 5-way blade | 5-way blade | 5-way blade | 3-way toggle | More positions = more wiring combinations |
| Setup | Nut width | 43 mm | 43 mm | 43 mm | 43 mm | Nut width is measurable; impacts string spacing |
| Setup | Factory string gauge | .009–.042 | .009–.042 | .009–.042 | .009–.042 | Baseline; players often change for tuning |
| Setup | Neck profile (manufacturer) | Wizard III | Super Wizard | Super Wizard HP | Wizard III | Profile is not purely numeric but directly tied to feel |
