# Steroid Hormone Biosynthesis  Enzymes, Genes, and Intermediates

| Pathway Segment | Substrate | Enzyme (Common Name) | Gene Symbol | Primary Tissue | Product |
|---|---|---|---|---|---|
| Cholesterol transport | Cholesterol (cytosol) | Steroidogenic acute regulatory protein | STAR | Adrenal, gonad | Cholesterol (mitochondria) |
| Side-chain cleavage | Cholesterol | P450scc (cholesterol desmolase) | CYP11A1 | Adrenal, gonad | Pregnenolone |
| Progesterone step | Pregnenolone | 3β-HSD | HSD3B2 | Adrenal, ovary | Progesterone |
| 17α-hydroxylation | Progesterone | 17α-hydroxylase | CYP17A1 | Adrenal, gonad | 17-OH progesterone |
| 21-hydroxylation | 17-OH progesterone | 21-hydroxylase | CYP21A2 | Adrenal cortex | 11-deoxycortisol |
| 11β-hydroxylation | 11-deoxycortisol | 11β-hydroxylase | CYP11B1 | Zona fasciculata | Cortisol |
| Aldosterone synthase | Deoxycorticosterone | Aldosterone synthase | CYP11B2 | Zona glomerulosa | Aldosterone |
| Aromatization | Androstenedione | Aromatase | CYP19A1 | Ovary, adipose | Estrone |
| Estradiol formation | Estrone | 17β-HSD type 1 | HSD17B1 | Ovary | Estradiol |
| DHT formation | Testosterone | 5α-reductase type 2 | SRD5A2 | Prostate, skin | Dihydrotestosterone |
