# Solar Chemical Abundances with Stellar Classification and Habitable-Zone Context

| Category | Item | Value | Unit | Chemical/Non-chemical |
|---|---|---:|---|---|
| Element abundance | Hydrogen (H) | 0.738 | mass fraction | Chemical |
| Element abundance | Helium (He) | 0.249 | mass fraction | Chemical |
| Element abundance | Oxygen (O) | 0.0096 | mass fraction | Chemical |
| Element abundance | Carbon (C) | 0.0030 | mass fraction | Chemical |
| Element abundance | Iron (Fe) | 0.0013 | mass fraction | Chemical |
| Stellar property | Spectral class | G2V | — | Non-chemical |
| Stellar property | Effective temperature | 5772 | K | Non-chemical |
| Stellar property | Luminosity | 1.00 | L☉ | Non-chemical |
| Exoplanet context | Habitable zone (approx.) | 0.95–1.67 | AU | Non-chemical |
| Observational data | Solar constant | 1361 | W/m² | Non-chemical |
| Observational data | Apparent magnitude (V) | -26.74 | mag | Non-chemical |
