# ERP Software Vendors for Discrete Manufacturing (Locations & Product Focus)

| Vendor / Product | HQ City | HQ Country | Primary Industry Fit | Deployment Options | Notes |
|---|---|---|---|---|---|
| Epicor Kinetic | Austin, TX | USA | Discrete manufacturing | Cloud, On-premises | Manufacturing-focused ERP suite |
| Infor CloudSuite Industrial (SyteLine) | New York, NY | USA | Industrial manufacturing | Cloud, Hosted | Often sold via partners |
| Aptean Industrial Manufacturing ERP | Alpharetta, GA | USA | Mid-market manufacturing | Cloud, On-premises | Multiple product lines under Aptean |
| Global Shop Solutions | The Woodlands, TX | USA | Job shops | On-premises, Hosted | Strong shop-floor modules |
| IQMS (DELMIAWorks) | Irvine, CA | USA | Automotive, plastics | Cloud, On-premises | Brand commonly associated with DELMIA |
| JobBOSS² | Minneapolis, MN | USA | Job shops | Cloud | Quoting and shop control emphasis |
| OmegaCube (PowerERP) | San Francisco Bay Area | USA | Distribution + light manufacturing | Cloud, On-premises | Integrations to accounting packages |
| Acumatica | Bellevue, WA | USA | Distribution, services | Cloud | Partner-led implementations |
| SYSPRO | Johannesburg | South Africa | Manufacturing, distribution | Cloud, On-premises | Global mid-market presence |
| Sage X3 | Newcastle upon Tyne | UK | Process + distribution | Cloud, On-premises | Often selected by multi-entity firms |
