# Daily Value Reference Chart for Common Nutrients (Adults)

| Nutrient | Unit | Daily Value (DV) | Upper Limit (UL) | Notes |
|---|---:|---:|---:|---|
| Calories | kcal | 2000 | — | Reference energy intake |
| Total Fat | g | 78 | — | Based on 2,000 kcal diet |
| Saturated Fat | g | 20 | — | Limit intake |
| Sodium | mg | 2300 | 2300 | UL equals DV |
| Total Carbohydrate | g | 275 | — | Includes fiber and sugars |
| Dietary Fiber | g | 28 | — | Adequate Intake used |
| Protein | g | 50 | — | General reference value |
| Vitamin C | mg | 90 | 2000 | UL for adults |
| Calcium | mg | 1300 | 2500 | UL varies by age |
| Iron | mg | 18 | 45 | UL for adults |
| Potassium | mg | 4700 | — | Adequate Intake used |
