# Broadway Musical Films  Movie Reviews, Ratings, and Directors (Film Adaptations)

| Title (Film) | Based on Broadway Musical | Film Director | Rotten Tomatoes (Approx.) | Release Year | Review Summary |
|---|---|---|---:|---:|---|
| Chicago | Chicago | Rob Marshall | 80+ | 2002 | Slick, cinematic staging emphasized |
| Les Misérables | Les Misérables | Tom Hooper | 60+ | 2012 | Ambitious but uneven |
| The Phantom of the Opera | The Phantom of the Opera | Joel Schumacher | 30+ | 2004 | Lavish visuals, mixed reception |
| Rent | Rent | Chris Columbus | 40+ | 2005 | Faithful but toned down |
| Hairspray | Hairspray | Adam Shankman | 60+ | 2007 | Energetic crowd-pleaser |
| Into the Woods | Into the Woods | Rob Marshall | 70+ | 2014 | Dark fairy-tale adaptation |
| Cats | Cats | Tom Hooper | 10+ | 2019 | Widely criticized visuals |
| Dear Evan Hansen | Dear Evan Hansen | Stephen Chbosky | 30+ | 2021 | Film version controversial |
| West Side Story | West Side Story | Steven Spielberg | 90+ | 2021 | Celebrated remake |
| Mamma Mia! | Mamma Mia! | Phyllida Lloyd | 50+ | 2008 | Fun jukebox spectacle |
