# Blood Type Diet Compatibility (ABO)  Beans, Legumes, and Nuts

| Food (Legumes/Nuts) | A | B | AB | O |
|---|---|---|---|---|
| Lentils | Recommended | Avoid | Neutral | Avoid |
| Chickpeas (Garbanzo) | Recommended | Neutral | Recommended | Avoid |
| Kidney beans | Avoid | Avoid | Avoid | Avoid |
| Black beans | Neutral | Neutral | Neutral | Avoid |
| Pinto beans | Avoid | Avoid | Avoid | Avoid |
| Soybeans | Recommended | Neutral | Recommended | Avoid |
| Tofu | Recommended | Neutral | Recommended | Avoid |
| Peanuts | Neutral | Recommended | Neutral | Avoid |
| Almonds | Recommended | Neutral | Recommended | Neutral |
| Walnuts | Neutral | Recommended | Recommended | Neutral |
| Pumpkin seeds | Neutral | Neutral | Neutral | Neutral |
| Cashews | Avoid | Neutral | Avoid | Avoid |
