# Olympus Four Thirds (Zuiko Digital) Lens Roadmap and Availability Notes — including Micro Four Thirds cross-listings

| Category | Lens model name | Mount/System | Format coverage | Availability status | Notes |
|---|---|---|---|---|---|
| Standard zooms | Zuiko Digital 14-54mm f/2.8-3.5 | Four Thirds (DSLR) | Four Thirds | Discontinued | Often paired with E-300/E-500 kits |
| Standard zooms | Zuiko Digital 14-45mm f/3.5-5.6 | Four Thirds (DSLR) | Four Thirds | Discontinued | Entry kit zoom |
| Standard zooms | Zuiko Digital 12-60mm f/2.8-4.0 SWD | Four Thirds (DSLR) | Four Thirds | Discontinued | SWD focusing; popular “pro” standard zoom |
| Tele zooms | Zuiko Digital 50-200mm f/2.8-3.5 SWD | Four Thirds (DSLR) | Four Thirds | Discontinued | Frequently used for sports/wildlife |
| Wide zooms | M.Zuiko Digital ED 7-14mm f/2.8 PRO | Micro Four Thirds | Micro Four Thirds | In production | Listed here for “ecosystem completeness” |
| Primes | Zuiko Digital 50mm f/2.0 Macro | Four Thirds (DSLR) | Four Thirds | Discontinued | true macro prime |
| Primes | M.Zuiko Digital 45mm f/1.8 | Micro Four Thirds | Micro Four Thirds | In production | Not a DSLR lens; added as an alternative |
| Specialty | Zuiko Digital 7-14mm f/4.0 | Four Thirds (DSLR) | Four Thirds | Discontinued | Ultra-wide zoom |
| Adapters | MMF-2 Four Thirds Adapter | Micro Four Thirds accessory | N/A | Discontinued | Enables Four Thirds lenses on MFT bodies |
| Adapters | OM-to-FourThirds mechanical adapter | Four Thirds accessory | N/A | Limited | For legacy OM lenses (manual focus) |
