# Infectious Diseases List (Minimal Exposure Context)

| Disease | Causative agent | Main organ system | Common symptoms | Typical course | Vaccine availability |
|---|---|---|---|---|---|
| Influenza | Influenza A/B virus | Respiratory | Fever, cough, myalgia | Acute (days–weeks) | Yes |
| Measles | Measles virus | Systemic/Respiratory | Rash, fever, cough | Acute; complications possible | Yes |
| Tuberculosis | Mycobacterium tuberculosis | Respiratory | Chronic cough, weight loss | Chronic | BCG (variable) |
| HIV infection | Human immunodeficiency virus | Immune | Variable, opportunistic infections | Chronic | No |
| Hepatitis B | HBV | Liver | Jaundice, fatigue | Acute or chronic | Yes |
| Norovirus infection | Norovirus | Gastrointestinal | Vomiting, diarrhea | Acute | No |
| Dengue | Dengue virus | Systemic | Fever, pain, rash | Acute; severe forms possible | Limited/region-specific |
| Cholera | Vibrio cholerae | Gastrointestinal | Profuse watery diarrhea | Acute | Yes (oral) |
| Malaria | Plasmodium spp. | Systemic | Fever cycles, chills | Acute/relapsing | Limited (some vaccines) |
| Rabies | Rabies virus | Nervous system | Encephalitis | Almost always fatal after symptoms | Yes (pre/post-exposure) |
