# Household Cleaners Ingredient List (No Concentration Provided)

| Product | Ingredient (INCI/common) | CAS No. | Function | Notes |
|---|---|---|---|---|
| Glass cleaner | Ammonium hydroxide | 1336-21-6 | pH adjuster | “Ammonia-based” formula |
| Glass cleaner | Isopropyl alcohol | 67-63-0 | Solvent | Fast drying |
| Bathroom spray | Sodium hypochlorite | 7681-52-9 | Oxidizer/disinfectant | “Bleach-containing” |
| Bathroom spray | Sodium hydroxide | 1310-73-2 | Alkali | Drain/soap scum aid |
| Dish soap | Sodium laureth sulfate | 9004-82-4 | Surfactant | Foaming agent |
| Dish soap | Cocamidopropyl betaine | 61789-40-0 | Surfactant | Mildness booster |
| Laundry detergent | Enzymes (protease/amylase) | — | Cleaning aid | Blend varies |
| Laundry detergent | Optical brighteners | — | Whitening | Proprietary mixture |
| Toilet bowl cleaner | Hydrochloric acid | 7647-01-0 | Descaler | “Acid-based” |
| All-purpose cleaner | d-Limonene | 5989-27-5 | Fragrance/solvent | Citrus scent |
