# Prepared Dishes and Ingredients Grouped by Cuisine Type and Diet Rule Compatibility

| Item (dish or ingredient) | Type | Cuisine/Style | Diet rule classification | Key ingredients (short) |
|---|---|---|---|---|
| Margherita pizza | Prepared dish | Italian | Vegetarian (not vegan) | Dough, tomato, mozzarella, basil |
| Vegetable stir-fry | Prepared dish | Chinese-style | Vegan | Mixed vegetables, soy sauce, garlic |
| Chicken burrito | Prepared dish | Mexican | Contains meat | Tortilla, chicken, beans, rice |
| Miso soup | Prepared dish | Japanese | Vegan (if dashi-free) | Miso, tofu, seaweed, scallion |
| Caesar salad | Prepared dish | Western | Contains animal products | Romaine, dressing, croutons |
| Hummus | Prepared dish | Middle Eastern | Vegan, Gluten-free | Chickpeas, tahini, lemon |
| Pad Thai (shrimp) | Prepared dish | Thai | Pescatarian | Rice noodles, shrimp, egg, peanuts |
| Beef stew | Prepared dish | American/European | Contains meat | Beef, potatoes, carrots |
| Tofu | Ingredient | Pan-Asian | Vegan, Gluten-free | Soybeans |
| Rice noodles | Ingredient | Southeast Asian | Gluten-free | Rice flour |
| Peanut butter | Ingredient | American | Vegan, Gluten-free | Peanuts |
| Butter | Ingredient | Western | Vegetarian (not vegan) | Dairy fat |
| Soy sauce (wheat-based) | Ingredient | East Asian | Contains gluten | Soybeans, wheat |
| Coconut milk | Ingredient | Southeast Asian | Vegan, Gluten-free | Coconut extract |
